record_id,split,image_archive,image_member,source_image_id,width,height,encoded_size_bytes,sha256,phash64
cubit_train_cr1_1,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1.JPG,CR1_1,3000,4500,4400720,93d27de9110a93ed543e6d76511d65c09fa5673f753d86fe09693b6335c57119,5e1ce1ab21e3a1a3
cubit_train_cr1_10,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_10.JPG,CR1_10,3000,4500,4182501,4648100798868f5c93669340aa341429278e6e65fca2200bc729afe6afa383b4,4f077ef90e4230c5
cubit_train_cr1_1000,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1000.JPG,CR1_1000,4500,3000,1944882,e88da3faa6ba8d493ccfcdb435e23236c1f89e401192e986b0a38fac91245868,0f1c0f1cf020fb1f
cubit_train_cr1_1001,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1001.JPG,CR1_1001,4500,3000,2101421,8e12129671f66bec7e21b0a5c2ce45d1b02f149f3b4016390fb89c545d8cbebe,030f071ff8a4f907
cubit_train_cr1_1002,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1002.JPG,CR1_1002,4500,3000,1979501,e7660ff7572308cf6ecc95c19ae64a87c2aa3adf55f1915090d4c3f65a89e32c,00070107fff7fc49
cubit_train_cr1_1004,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1004.JPG,CR1_1004,4500,3000,2020072,8654042b77e1f4bb293e39f61fc98d3628ad8e5121b851b70a43b3d933f2f239,410000009effffff
cubit_train_cr1_1005,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1005.JPG,CR1_1005,4500,3000,1928130,ad1e1553a472c37201b633ffb289fd2999341703aa3c38ed03668bcd86612dcd,0e181c1ef91f21f3
cubit_train_cr1_1006,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1006.JPG,CR1_1006,4500,3000,1934653,b851dff88ba24581b29744c80151cee5a10c512142e3709fdb8c16318bf9553c,071c0e0ffc0fa0f3
cubit_train_cr1_1007,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1007.JPG,CR1_1007,4500,3000,1972186,4f6149ded4800f038c703ef1ff7e3ebcd619609356f8b57a4adafd0b0b0e63ff,031f07073e02bef9
cubit_train_cr1_1008,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1008.JPG,CR1_1008,4500,3000,1970166,2db03f115bfc27dd883de82647e4e13eec8974d238d1b12d00ee3b86cbf9fe31,000f03033f03bfff
cubit_train_cr1_1009,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_1009.JPG,CR1_1009,4500,3000,2006613,024212183af1b4e4d30b137a079e60574a141d529af2824128464949617b532a,00000000ffdfffff
cubit_train_cr1_101,train,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/train/images.zip,images/CR1_101.JPG,CR1_101,4500,3000,2831273,984c4700b079af4747e6c0eb5db70eefbc4c37925411c6c401a826f358e178bb,2af1d22d2f02e8f2
