sample_id,source,image_path,annotation_path,image_bytes,annotation_bytes,image_sha256,annotation_sha256,width,height,image_format,image_mode,image_status,annotation_status,readable
cif_0001,CiF-tiled,data/feasibility_v0/images/cif/cif_0001.jpg,data/feasibility_v0/annotations/cif/cif_0001.json,135796,27722,579249033e5b368ea77483eb942a7e68d17a4ddf15780de8819aa7d07b205dc2,3ca188f29458a6648dc2e6bdeeeff99c102c538922fc6df83b05cd6ae94729a6,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0002,CiF-tiled,data/feasibility_v0/images/cif/cif_0002.jpg,data/feasibility_v0/annotations/cif/cif_0002.json,177344,9862,14bbe76c284ab6944da6b971f87c6402934b92c69102463a43268819a01ca0fd,78335465d5776f4c176aea4f26b9e6021708cb58efc66dffe19ff3cc26110a18,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0003,CiF-tiled,data/feasibility_v0/images/cif/cif_0003.jpg,data/feasibility_v0/annotations/cif/cif_0003.json,150504,48111,02d3b89ce1fa6e8417655e87a3a233f8dc8c0a240750408c7e5d9636e9977f28,95a196d6a6e6ea1707a98e0cc441ccf311c2f7c3846d7640eea5793f82aa3c0a,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0004,CiF-tiled,data/feasibility_v0/images/cif/cif_0004.jpg,data/feasibility_v0/annotations/cif/cif_0004.json,275526,28838,3812428d22d38207cbd3d51474cab4670ec62f2ed67f4a91689f65c47bb225b5,c080d3b07a7daaf72e01abb97bd29ab40c68643713cb66dbb6d13142480b85cc,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0005,CiF-tiled,data/feasibility_v0/images/cif/cif_0005.jpg,data/feasibility_v0/annotations/cif/cif_0005.json,136725,11500,fb6fa9e9df43d8646d0866cfedc38edbc2b4fbcad1eb3d17e1671fb6ae3a877b,60086e320a2e5036d6a344fada02136821da1822d9414664fa6f2e52ea205977,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0006,CiF-tiled,data/feasibility_v0/images/cif/cif_0006.jpg,data/feasibility_v0/annotations/cif/cif_0006.json,166896,7380,6f8e75d1e5f3a9737937b46db74feeaaab6aea3c77b0ac853f31338903bb52c1,a208bfb8521efe88ae712aeddc358093f5c20bfe740a48b9df42e86e50d1c6ba,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0007,CiF-tiled,data/feasibility_v0/images/cif/cif_0007.jpg,data/feasibility_v0/annotations/cif/cif_0007.json,98033,22484,0942dd3a8a2d35afd12d31a7d71a27fe1406129be03d4a2d48bb86c4af89fd53,b641019eb3145d0d578d7eaa94094ac3d785ea812f2bef638a9002f16aca6380,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0008,CiF-tiled,data/feasibility_v0/images/cif/cif_0008.jpg,data/feasibility_v0/annotations/cif/cif_0008.json,140997,47188,facb0a3a08211dd52c2a1ab43c0122d5750d0c3e5d1f0e6768d6080d75ce5d2a,4ea430f5c824d8e65cd0d8902d46c806262c9047890ed95e79a2480b6dce39b4,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0009,CiF-tiled,data/feasibility_v0/images/cif/cif_0009.jpg,data/feasibility_v0/annotations/cif/cif_0009.json,181749,8890,5985ef87d9ac4c5319cfe6918f19e62afe52ecbd736b18fe521497abc3d56387,63db405303b2e5a39ecab8dfcde96590e8d265e0dcd9479ebb4101f3ca510e7c,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
cif_0010,CiF-tiled,data/feasibility_v0/images/cif/cif_0010.jpg,data/feasibility_v0/annotations/cif/cif_0010.json,138503,60409,e630c32911258685f251b326757bfa0b7cd1e1196551035e615e9a52709fbfbd,9628b4b1c224bb2d7972df2f578ca77be445f3f4b2884e99ba3772ee81e0e19a,1024,1024,JPEG,RGB,reused_identical,reused_identical,True
