dataset,split,native_label,images_with_label,instances_or_shapes,pixels,count_basis
CiF-tiled,test,Algae,6961,7798,,parquet instance polygons
CiF-tiled,test,Crack,9374,13306,,parquet instance polygons
CiF-tiled,test,Crack with Precipitation,378,509,,parquet instance polygons
CiF-tiled,test,Net-Crack,2055,2185,,parquet instance polygons
CiF-tiled,test,Rust,1528,2331,,parquet instance polygons
CiF-tiled,test,Spalling,4196,5677,,parquet instance polygons
CiF-tiled,train,Algae,29575,32997,,parquet instance polygons
CiF-tiled,train,Crack,51376,90823,,parquet instance polygons
CiF-tiled,train,Crack with Precipitation,2383,3057,,parquet instance polygons
CiF-tiled,train,Net-Crack,10272,10881,,parquet instance polygons
CiF-tiled,train,Rust,7738,11469,,parquet instance polygons
CiF-tiled,train,Spalling,20313,28442,,parquet instance polygons
CiF-tiled,val,Algae,6444,7127,,parquet instance polygons
CiF-tiled,val,Crack,11203,20861,,parquet instance polygons
CiF-tiled,val,Crack with Precipitation,519,685,,parquet instance polygons
CiF-tiled,val,Net-Crack,2201,2357,,parquet instance polygons
CiF-tiled,val,Rust,1674,2396,,parquet instance polygons
CiF-tiled,val,Spalling,4001,5241,,parquet instance polygons
DACL10K-v2-devphase,train,ACrack,332,376,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Bearing,730,1048,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Cavity,1188,8119,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Crack,1727,3154,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Drainage,1030,1404,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,EJoint,395,450,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Efflorescence,1523,3450,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,ExposedRebars,773,1753,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Graffiti,795,1880,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Hollowareas,1097,1363,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,JTape,767,923,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,PEquipment,1319,1674,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Restformwork,713,851,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Rockpocket,311,525,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Rust,3450,12837,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Spalling,3262,8484,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,WConccor,265,360,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Weathering,2704,4064,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,train,Wetspot,965,1443,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,ACrack,42,48,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Bearing,105,160,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Cavity,167,1152,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Crack,254,472,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Drainage,151,248,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,EJoint,51,56,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Efflorescence,206,515,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,ExposedRebars,104,247,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Graffiti,146,320,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Hollowareas,155,194,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,JTape,128,155,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,PEquipment,175,214,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Restformwork,133,171,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Rockpocket,52,92,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Rust,465,1883,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Spalling,477,1400,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,WConccor,38,52,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Weathering,392,570,,LabelMe-style polygons/shapes
DACL10K-v2-devphase,validation,Wetspot,144,218,,LabelMe-style polygons/shapes
CODEBRIM-original,unsplit_original,Background,40,49,,Pascal/VOC-style XML objects
CODEBRIM-original,unsplit_original,CorrosionStain,573,1550,,Pascal/VOC-style XML objects
CODEBRIM-original,unsplit_original,Crack,629,2502,,Pascal/VOC-style XML objects
