model_id,artifact_role,source,relative_path,bytes,sha256
yolo11n,runtime,ultralytics/yolo11n.pt,weights/yolo/yolo11n.pt,5613764,0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1
yolo11n_seg,runtime,ultralytics/yolo11n-seg.pt,weights/yolo/yolo11n-seg.pt,6182636,55ed65c56c91713d23e8402371c6c49a6fd84f257f7dce452e8d70e41dcbe152
resnet50,runtime,torchvision/resnet50-11ad3fa6,weights/resnet/resnet50-11ad3fa6.pth,102540417,11ad3fa62ca79e40addfd354a8ec4b7c75143b3038b8d2a807fbc68deab379ca
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/.gitattributes,1519,11ad7efa24975ee4b0c3c3a38ed18737f0658a5f75a0a96787b576a78a023361
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/config.json,5695,860aff9751b139d83a4ad7df1e5535416fded533e0ead02625edbefcb9953cce
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/model.safetensors,155908064,48c14467e5cf9e51870511feb72c89688e82dd74523142c0538b663e193ac2a7
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/preprocessor_config.json,683,6ebf229ee259368ce4a8d4f2fe893a72b053023710853e257253939e601f583d
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/processor_config.json,95,f8a68e865cfad115c1c2763f3d93eca7b1c622da06da2a9273eb437fb2389b6d
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/README.md,19965,dfa401b1b9358b9650ae487dd2f2bb336fd745c3609e3244adf2e97a22343857
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/sam2.1_hiera_t.yaml,3855,43e114f609a1af7efede061f5c186119d498acd31f118f300c07acf57d4a5eca
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/sam2.1_hiera_tiny.pt,156008466,7402e0d864fa82708a20fbd15bc84245c2f26dff0eb43a4b5b93452deb34be69
sam2_1_hiera_tiny,runtime,facebook/sam2.1-hiera-tiny,weights/sam2.1-hiera-tiny/video_preprocessor_config.json,705,9fccfe5f464ec38c2f236d0e6a68e95511c80c22132fc2fa4b9f7b65f24fad95
