sample_id,native_label,proposed_canonical_label,review_decision,final_canonical_label,geometry_decision,annotation_status,reviewer_id,review_notes
cif_0038,Rust,rust_staining,accept,rust_staining,accept,review_rejected_fragments,,,
cif_0067,Crack,crack,accept,crack,accept,review_rejected_fragments,,,
cif_0089,Crack,crack,accept,crack,accept,review_rejected_fragments,,,
dacl_0001,Crack|Rockpocket|Rust|Spalling,crack|honeycombing_rock_pocket|rust_staining|spalling,relabel,crack|honeycombing_rock_pocket|spalling,automated_geometry_qc_passed,,,
dacl_0002,Rockpocket,honeycombing_rock_pocket,,,automated_geometry_qc_passed,,,
dacl_0003,Crack|Efflorescence|Rockpocket|Rust,crack|efflorescence_leaching|honeycombing_rock_pocket|rust_staining,,,automated_geometry_qc_passed,,,
dacl_0004,Crack|Rockpocket|Spalling,crack|honeycombing_rock_pocket|spalling,,,automated_geometry_qc_passed,,,
dacl_0005,Rockpocket|Rust|Spalling,honeycombing_rock_pocket|rust_staining|spalling,,,automated_geometry_qc_passed,,,
dacl_0006,Crack|Rockpocket,crack|honeycombing_rock_pocket,,,automated_geometry_qc_passed,,,
dacl_0007,ACrack|Crack|Rockpocket|Rust|Spalling,crack|honeycombing_rock_pocket|rust_staining|spalling,,,automated_geometry_qc_passed,,,
dacl_0008,Crack|Rockpocket|Rust|Spalling,crack|honeycombing_rock_pocket|rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0008,corrosion|efflorescence,rust_staining|efflorescence_leaching,,,automated_geometry_qc_passed,,,
s2ds_0013,corrosion,rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0014,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0015,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0016,corrosion,rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0017,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0018,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0019,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0020,corrosion,rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0021,corrosion,rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0022,corrosion,rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0023,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0024,corrosion,rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0026,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0027,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0028,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0029,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0030,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0031,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0032,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0033,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0034,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0035,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0036,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0037,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0038,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0039,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0040,corrosion|spalling,rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0051,corrosion|crack,crack|rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0061,corrosion|crack,crack|rust_staining,,,automated_geometry_qc_passed,,,
s2ds_0073,corrosion|crack|spalling,crack|rust_staining|spalling,,,automated_geometry_qc_passed,,,
s2ds_0076,corrosion|crack,crack|rust_staining,,,automated_geometry_qc_passed,,,
