sample_id,source_dataset,split,group_id,output_image,normalized_annotation,normalized_annotation_sha256,canonical_labels,mapping_version,license_id,target_annotation_count,mapping_strengths,segmentation_annotation_count,rejected_geometry_count,geometry_qc,task,eligibility,geometry
cif_0001,CiF-tiled,train,SB-AB18-AB_S-220.JPG,data/feasibility_v0/images/cif/cif_0001.jpg,data/feasibility_v0/normalized/cif_0001.json,2b1e5a1a8312fa0261a864dac18c97bd56fc2255e4042de9f86c7fbbcb5045b8,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,4,direct,4,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0002,CiF-tiled,train,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154612_0100_SUPR.JPG,data/feasibility_v0/images/cif/cif_0002.jpg,data/feasibility_v0/normalized/cif_0002.json,19a0c26592b7f2f2b0512e14adc2d8cce27052837ffea6951a7782a2702abd42,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0003,CiF-tiled,train,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154430_0053_SUPR.JPG,data/feasibility_v0/images/cif/cif_0003.jpg,data/feasibility_v0/normalized/cif_0003.json,954d11f1c99f972aedd1c872dcf7ce82c2b09976827d19c4d486b7809f81abbc,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0004,CiF-tiled,train,Ankerblock 18 Wall South (East to west)/DJI_20210824101408_0007_SUPR/DJI_20210824101649_0073_SUPR.JPG,data/feasibility_v0/images/cif/cif_0004.jpg,data/feasibility_v0/normalized/cif_0004.json,7c70c06e3287961893ac99cc57a4bcb5253212273bd7d42a1e26699fced30403,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0005,CiF-tiled,train,SB-AB18-AB_S-107.JPG,data/feasibility_v0/images/cif/cif_0005.jpg,data/feasibility_v0/normalized/cif_0005.json,0dca30f37ccfdc78623cb3f72509406a201dfcc1d67138b5924e1bf6587133b8,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0006,CiF-tiled,train,AB18 - The sloping Part (South)/DJI_20210824130756_0006_SUPR/DJI_20210824131058_0084_SUPR.JPG,data/feasibility_v0/images/cif/cif_0006.jpg,data/feasibility_v0/normalized/cif_0006.json,9a953e2b49d60a44e3445fc67b4734083374a873fe43a62104b76ae65b76e582,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0007,CiF-tiled,train,Concrete/00012301_20060601_f0400002_20130320180000.jpg,data/feasibility_v0/images/cif/cif_0007.jpg,data/feasibility_v0/normalized/cif_0007.json,bf948dec82ed96b518601afe34794a2b1d899b6c3e22d530728d5b1996e44427,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0008,CiF-tiled,train,Ankerblock 18 Wall South (East to west)/DJI_20210824103315_0010_SUPR/DJI_20210824103605_0078_SUPR.JPG,data/feasibility_v0/images/cif/cif_0008.jpg,data/feasibility_v0/normalized/cif_0008.json,8ddc83dc66424690e52b0017ea53e3e3505b9d556eaadc8324f86689e00bd94d,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0009,CiF-tiled,train,AB18 - The sloping Part (South)/DJI_20210824112738_0016_SUPR/DJI_20210824112738_0000_W.JPG,data/feasibility_v0/images/cif/cif_0009.jpg,data/feasibility_v0/normalized/cif_0009.json,d0bf9af6ea4f045dda7b88643af9310db31d6b73796265280038ebb27a103054,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0010,CiF-tiled,train,SB-AB18-AB_S-293.JPG,data/feasibility_v0/images/cif/cif_0010.jpg,data/feasibility_v0/normalized/cif_0010.json,bf525b069b2028f35091ba4fa70919ac012dd83254583cc9928587478df250ee,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,7,direct,7,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0011,CiF-tiled,train,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133411_0023_SUPR.JPG,data/feasibility_v0/images/cif/cif_0011.jpg,data/feasibility_v0/normalized/cif_0011.json,b1ec44e5b7738917cfa55bbee360bb684bfba8c609928a6255e9d626b63e24bd,crack|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0012,CiF-tiled,train,004/dump3/IMG_8962.jpg,data/feasibility_v0/images/cif/cif_0012.jpg,data/feasibility_v0/normalized/cif_0012.json,ec8d7fc13fd9008cebbc4306367447dcbbbac699e30124b171e783647eee2199,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0013,CiF-tiled,train,Pille 12/S/DJI_20210607134342_0010_SUPR/DJI_20210607134539_0055_SUPR.JPG,data/feasibility_v0/images/cif/cif_0013.jpg,data/feasibility_v0/normalized/cif_0013.json,5896ca4a8da598fc8785cdc391450d1c547b87cc5517444120f43d3ee01ab7b2,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0014,CiF-tiled,train,Pille 06/S/DJI_20210616133323_0005_SUPR/DJI_20210616133440_0037_SUPR.JPG,data/feasibility_v0/images/cif/cif_0014.jpg,data/feasibility_v0/normalized/cif_0014.json,96395f8e5fa2e617b167a746ff17a3d4fc7a1e73d88db6d6286b0371f433b52f,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0015,CiF-tiled,train,Pille 26/N/DJI_20210601101131_0006_SUPR/DJI_20210601101218_0022_SUPR.JPG,data/feasibility_v0/images/cif/cif_0015.jpg,data/feasibility_v0/normalized/cif_0015.json,2200a0003ec5b3927ad8542560412f7f3377bbc514206fc0549f9c65dab2b235,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0016,CiF-tiled,train,Pillar WEST/E/DJI_20230418143828_0006_SUPR/DJI_20230418143842_0007_SUPR.JPG,data/feasibility_v0/images/cif/cif_0016.jpg,data/feasibility_v0/normalized/cif_0016.json,1157790119432c2b49f7db071635ece05bb3a66bafc1a1abed67ab22a7817e34,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0017,CiF-tiled,train,Pille 26/N/DJI_20210601101321_0007_SUPR/DJI_20210601101421_0028_SUPR.JPG,data/feasibility_v0/images/cif/cif_0017.jpg,data/feasibility_v0/normalized/cif_0017.json,5d5ec0dd3639b1ea59b803c780810a11019f59f40bcef5b3c5506190bca040d8,crack|spalling,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,3,direct,3,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0018,CiF-tiled,train,DJI_202211181335_001_Pillar/DJI_20221118134250_0001_SUPR Pillar zoom 10/DJI_20221118134343_0026_SUPR.JPG,data/feasibility_v0/images/cif/cif_0018.jpg,data/feasibility_v0/normalized/cif_0018.json,6ef3baa1fc0a9698694434fee87fa081ba5c11d5e1702a6fadff12971e4aacb4,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,4,direct,4,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0019,CiF-tiled,train,004/dump3/IMG_8973.jpg,data/feasibility_v0/images/cif/cif_0019.jpg,data/feasibility_v0/normalized/cif_0019.json,e84bfd7c0fd8de401c0a8b3228c7effcaf92bd52b5d7e9cc33bdc36ab5b9721a,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0020,CiF-tiled,train,Pille 25/N/DJI_20210601105826_0007_SUPR/DJI_20210601105830_0002_SUPR.JPG,data/feasibility_v0/images/cif/cif_0020.jpg,data/feasibility_v0/normalized/cif_0020.json,6b476e7852e0c6bd5784da67868dcbe5ae6a530ec303de05587b48bf4e6293a3,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,1,direct,1,0,passed,classification,image_multilabel_from_source_annotations,image_labels
cif_0021,CiF-tiled,train,AB18 - The sloping Part (South)/DJI_20210824154908_0011_SUPR/DJI_20210824155056_0050_SUPR.JPG,data/feasibility_v0/images/cif/cif_0021.jpg,data/feasibility_v0/normalized/cif_0021.json,d0a0680468593a4cf5a48620dd09094659998550397ee2aabaf4f495b9cf2bf2,crack,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,2,direct,2,0,passed,classification,image_multilabel_from_source_annotations,image_labels
