sample_id,source_dataset,source_version,source_path,source_image_id,parent_image_id,group_id,split,capture_mode,asset_domain,annotation_type,native_labels,canonical_labels,annotation_status,mapping_version,license_id,quality_flags,selection_reason,sha256,locator_type,image_locator,annotation_locator,parquet_row_index,output_image,output_annotation
cif_0001,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,SB-AB18-AB_S-220_768_1536.JPG,SB-AB18-AB_S-220.JPG,SB-AB18-AB_S-220.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,1123,data/feasibility_v0/images/cif/cif_0001.jpg,data/feasibility_v0/annotations/cif/cif_0001.json
cif_0002,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,DJI_20210824154612_0100_SUPR_2304_2304.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154612_0100_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154612_0100_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,1044,data/feasibility_v0/images/cif/cif_0002.jpg,data/feasibility_v0/annotations/cif/cif_0002.json
cif_0003,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,DJI_20210824154430_0053_SUPR_1536_3072.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154430_0053_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154430_0053_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,803,data/feasibility_v0/images/cif/cif_0003.jpg,data/feasibility_v0/annotations/cif/cif_0003.json
cif_0004,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00030-of-00084.parquet,DJI_20210824101649_0073_SUPR_3072_768.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824101408_0007_SUPR/DJI_20210824101649_0073_SUPR.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824101408_0007_SUPR/DJI_20210824101649_0073_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00030-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00030-of-00084.parquet,597,data/feasibility_v0/images/cif/cif_0004.jpg,data/feasibility_v0/annotations/cif/cif_0004.json
cif_0005,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,SB-AB18-AB_S-107_3840_1536.JPG,SB-AB18-AB_S-107.JPG,SB-AB18-AB_S-107.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,921,data/feasibility_v0/images/cif/cif_0005.jpg,data/feasibility_v0/annotations/cif/cif_0005.json
cif_0006,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824131058_0084_SUPR_2304_2304.JPG,AB18 - The sloping Part (South)/DJI_20210824130756_0006_SUPR/DJI_20210824131058_0084_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824130756_0006_SUPR/DJI_20210824131058_0084_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,9,data/feasibility_v0/images/cif/cif_0006.jpg,data/feasibility_v0/annotations/cif/cif_0006.json
cif_0007,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,00012301_20060601_f0400002_20130320180000_0_768.jpg,Concrete/00012301_20060601_f0400002_20130320180000.jpg,Concrete/00012301_20060601_f0400002_20130320180000.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,396,data/feasibility_v0/images/cif/cif_0007.jpg,data/feasibility_v0/annotations/cif/cif_0007.json
cif_0008,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824103605_0078_SUPR_768_0.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824103315_0010_SUPR/DJI_20210824103605_0078_SUPR.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824103315_0010_SUPR/DJI_20210824103605_0078_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,1138,data/feasibility_v0/images/cif/cif_0008.jpg,data/feasibility_v0/annotations/cif/cif_0008.json
cif_0009,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824112738_0000_W_768_2304.JPG,AB18 - The sloping Part (South)/DJI_20210824112738_0016_SUPR/DJI_20210824112738_0000_W.JPG,AB18 - The sloping Part (South)/DJI_20210824112738_0016_SUPR/DJI_20210824112738_0000_W.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,198,data/feasibility_v0/images/cif/cif_0009.jpg,data/feasibility_v0/annotations/cif/cif_0009.json
cif_0010,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,SB-AB18-AB_S-293_1536_768.JPG,SB-AB18-AB_S-293.JPG,SB-AB18-AB_S-293.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-beta,CDLA-Permissive-2.0,,quota:Crack with Precipitation,,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,1231,data/feasibility_v0/images/cif/cif_0010.jpg,data/feasibility_v0/annotations/cif/cif_0010.json
