sample_id,source_dataset,source_version,source_path,source_image_id,parent_image_id,group_id,split,capture_mode,asset_domain,annotation_type,native_labels,canonical_labels,annotation_status,mapping_version,license_id,quality_flags,selection_reason,sha256,locator_type,image_locator,annotation_locator,parquet_row_index,output_image,output_annotation,annotation_sha256,materialized_width,materialized_height,materialized_image_format,materialized_readable
cif_0001,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,SB-AB18-AB_S-220_768_1536.JPG,SB-AB18-AB_S-220.JPG,SB-AB18-AB_S-220.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,579249033e5b368ea77483eb942a7e68d17a4ddf15780de8819aa7d07b205dc2,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,1123,data/feasibility_v0/images/cif/cif_0001.jpg,data/feasibility_v0/annotations/cif/cif_0001.json,3ca188f29458a6648dc2e6bdeeeff99c102c538922fc6df83b05cd6ae94729a6,1024,1024,JPEG,True
cif_0002,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,DJI_20210824154612_0100_SUPR_2304_2304.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154612_0100_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154612_0100_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,14bbe76c284ab6944da6b971f87c6402934b92c69102463a43268819a01ca0fd,parquet_row,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,1044,data/feasibility_v0/images/cif/cif_0002.jpg,data/feasibility_v0/annotations/cif/cif_0002.json,78335465d5776f4c176aea4f26b9e6021708cb58efc66dffe19ff3cc26110a18,1024,1024,JPEG,True
cif_0003,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,DJI_20210824154430_0053_SUPR_1536_3072.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154430_0053_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824154235_0010_SUPR/DJI_20210824154430_0053_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,02d3b89ce1fa6e8417655e87a3a233f8dc8c0a240750408c7e5d9636e9977f28,parquet_row,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00038-of-00084.parquet,803,data/feasibility_v0/images/cif/cif_0003.jpg,data/feasibility_v0/annotations/cif/cif_0003.json,95a196d6a6e6ea1707a98e0cc441ccf311c2f7c3846d7640eea5793f82aa3c0a,1024,1024,JPEG,True
cif_0004,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00030-of-00084.parquet,DJI_20210824101649_0073_SUPR_3072_768.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824101408_0007_SUPR/DJI_20210824101649_0073_SUPR.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824101408_0007_SUPR/DJI_20210824101649_0073_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,3812428d22d38207cbd3d51474cab4670ec62f2ed67f4a91689f65c47bb225b5,parquet_row,datasets/CiF-tiled/data/train_tiled-00030-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00030-of-00084.parquet,597,data/feasibility_v0/images/cif/cif_0004.jpg,data/feasibility_v0/annotations/cif/cif_0004.json,c080d3b07a7daaf72e01abb97bd29ab40c68643713cb66dbb6d13142480b85cc,1024,1024,JPEG,True
cif_0005,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,SB-AB18-AB_S-107_3840_1536.JPG,SB-AB18-AB_S-107.JPG,SB-AB18-AB_S-107.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,fb6fa9e9df43d8646d0866cfedc38edbc2b4fbcad1eb3d17e1671fb6ae3a877b,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,921,data/feasibility_v0/images/cif/cif_0005.jpg,data/feasibility_v0/annotations/cif/cif_0005.json,60086e320a2e5036d6a344fada02136821da1822d9414664fa6f2e52ea205977,1024,1024,JPEG,True
cif_0006,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824131058_0084_SUPR_2304_2304.JPG,AB18 - The sloping Part (South)/DJI_20210824130756_0006_SUPR/DJI_20210824131058_0084_SUPR.JPG,AB18 - The sloping Part (South)/DJI_20210824130756_0006_SUPR/DJI_20210824131058_0084_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,6f8e75d1e5f3a9737937b46db74feeaaab6aea3c77b0ac853f31338903bb52c1,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,9,data/feasibility_v0/images/cif/cif_0006.jpg,data/feasibility_v0/annotations/cif/cif_0006.json,a208bfb8521efe88ae712aeddc358093f5c20bfe740a48b9df42e86e50d1c6ba,1024,1024,JPEG,True
cif_0007,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,00012301_20060601_f0400002_20130320180000_0_768.jpg,Concrete/00012301_20060601_f0400002_20130320180000.jpg,Concrete/00012301_20060601_f0400002_20130320180000.jpg,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,0942dd3a8a2d35afd12d31a7d71a27fe1406129be03d4a2d48bb86c4af89fd53,parquet_row,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00053-of-00084.parquet,396,data/feasibility_v0/images/cif/cif_0007.jpg,data/feasibility_v0/annotations/cif/cif_0007.json,b641019eb3145d0d578d7eaa94094ac3d785ea812f2bef638a9002f16aca6380,1024,1024,JPEG,True
cif_0008,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824103605_0078_SUPR_768_0.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824103315_0010_SUPR/DJI_20210824103605_0078_SUPR.JPG,Ankerblock 18 Wall South (East to west)/DJI_20210824103315_0010_SUPR/DJI_20210824103605_0078_SUPR.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,facb0a3a08211dd52c2a1ab43c0122d5750d0c3e5d1f0e6768d6080d75ce5d2a,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,1138,data/feasibility_v0/images/cif/cif_0008.jpg,data/feasibility_v0/annotations/cif/cif_0008.json,4ea430f5c824d8e65cd0d8902d46c806262c9047890ed95e79a2480b6dce39b4,1024,1024,JPEG,True
cif_0009,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,DJI_20210824112738_0000_W_768_2304.JPG,AB18 - The sloping Part (South)/DJI_20210824112738_0016_SUPR/DJI_20210824112738_0000_W.JPG,AB18 - The sloping Part (South)/DJI_20210824112738_0016_SUPR/DJI_20210824112738_0000_W.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,5985ef87d9ac4c5319cfe6918f19e62afe52ecbd736b18fe521497abc3d56387,parquet_row,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00023-of-00084.parquet,198,data/feasibility_v0/images/cif/cif_0009.jpg,data/feasibility_v0/annotations/cif/cif_0009.json,63db405303b2e5a39ecab8dfcde96590e8d265e0dcd9479ebb4101f3ca510e7c,1024,1024,JPEG,True
cif_0010,CiF-tiled,tiled-1024-public,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,SB-AB18-AB_S-293_1536_768.JPG,SB-AB18-AB_S-293.JPG,SB-AB18-AB_S-293.JPG,train,UAV,mixed civil infrastructure,instance polygons and boxes,Crack|Crack with Precipitation,crack,positive,BDI-TAX-001@0.1.0-draft,CDLA-Permissive-2.0,,quota:Crack with Precipitation,e630c32911258685f251b326757bfa0b7cd1e1196551035e615e9a52709fbfbd,parquet_row,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,datasets/CiF-tiled/data/train_tiled-00008-of-00084.parquet,1231,data/feasibility_v0/images/cif/cif_0010.jpg,data/feasibility_v0/annotations/cif/cif_0010.json,9628b4b1c224bb2d7972df2f578ca77be445f3f4b2884e99ba3772ee81e0e19a,1024,1024,JPEG,True
