sample_id,source_dataset,source_version,source_image_id,parent_image_id,group_id,split,capture_mode,asset_domain,annotation_type,native_labels,canonical_labels,annotation_status,mapping_version,license_id,quality_flags,sha256,output_image,normalized_annotation,normalized_annotation_sha256,target_annotation_count,segmentation_annotation_count,geometry_qc,test_locked,task,eligibility,geometry
cubit_train_cr1_1,CUBIT-InSeg,official_2026_release,CR1_1,CR1_1,cubit:train:cr1_1,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,93d27de9110a93ed543e6d76511d65c09fa5673f753d86fe09693b6335c57119,data/v1/images/cubit/cubit_train_cr1_1.jpg,data/v1/annotations/cubit/cubit_train_cr1_1.json,d8271b3131dde87aa7c9aff08422354a3192c7aa22198f2ba3cf229db5294a94,3,3,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_10,CUBIT-InSeg,official_2026_release,CR1_10,CR1_10,cubit:train:cr1_10,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,4648100798868f5c93669340aa341429278e6e65fca2200bc729afe6afa383b4,data/v1/images/cubit/cubit_train_cr1_10.jpg,data/v1/annotations/cubit/cubit_train_cr1_10.json,2a8985e0a21d771817a1bed0f4d12f2c17e2cacf634e584ed3a521010de38fca,3,3,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1000,CUBIT-InSeg,official_2026_release,CR1_1000,CR1_1000,cubit:train:cr1_1000,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,e88da3faa6ba8d493ccfcdb435e23236c1f89e401192e986b0a38fac91245868,data/v1/images/cubit/cubit_train_cr1_1000.jpg,data/v1/annotations/cubit/cubit_train_cr1_1000.json,874434ae28f9521660e8bb6a93c84df7d8d212e4c00d7fa886b1ab78935306db,14,14,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1001,CUBIT-InSeg,official_2026_release,CR1_1001,CR1_1001,cubit:train:cr1_1001,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,8e12129671f66bec7e21b0a5c2ce45d1b02f149f3b4016390fb89c545d8cbebe,data/v1/images/cubit/cubit_train_cr1_1001.jpg,data/v1/annotations/cubit/cubit_train_cr1_1001.json,af3c1c9554ca95980cf97bbce7787ccb03466c6bba8a5e3c84366a100ea1587f,14,14,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1002,CUBIT-InSeg,official_2026_release,CR1_1002,CR1_1002,cubit:train:cr1_1002,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,e7660ff7572308cf6ecc95c19ae64a87c2aa3adf55f1915090d4c3f65a89e32c,data/v1/images/cubit/cubit_train_cr1_1002.jpg,data/v1/annotations/cubit/cubit_train_cr1_1002.json,1587dad7346b7a182e1e65b75924844dfb3f9f6777a7f1874ce1034ad6664f87,14,14,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1005,CUBIT-InSeg,official_2026_release,CR1_1005,CR1_1005,cubit:train:cr1_1005,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,ad1e1553a472c37201b633ffb289fd2999341703aa3c38ed03668bcd86612dcd,data/v1/images/cubit/cubit_train_cr1_1005.jpg,data/v1/annotations/cubit/cubit_train_cr1_1005.json,4addb025b90ba5e18c1ebfa1623a5d15707e017aee21eee7fb0b191ceffaa019,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1006,CUBIT-InSeg,official_2026_release,CR1_1006,CR1_1006,cubit:train:cr1_1006,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,b851dff88ba24581b29744c80151cee5a10c512142e3709fdb8c16318bf9553c,data/v1/images/cubit/cubit_train_cr1_1006.jpg,data/v1/annotations/cubit/cubit_train_cr1_1006.json,9f21dc6bd2e85aac87bbeb8f833cbb6d3eed6202204b23a95c116f9e888d8910,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1007,CUBIT-InSeg,official_2026_release,CR1_1007,CR1_1007,cubit:train:cr1_1007,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,4f6149ded4800f038c703ef1ff7e3ebcd619609356f8b57a4adafd0b0b0e63ff,data/v1/images/cubit/cubit_train_cr1_1007.jpg,data/v1/annotations/cubit/cubit_train_cr1_1007.json,4b3bb60ba30aa56d9ecac91e7a280e732dfee37bf5612432f8d566228855b800,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1008,CUBIT-InSeg,official_2026_release,CR1_1008,CR1_1008,cubit:train:cr1_1008,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,2db03f115bfc27dd883de82647e4e13eec8974d238d1b12d00ee3b86cbf9fe31,data/v1/images/cubit/cubit_train_cr1_1008.jpg,data/v1/annotations/cubit/cubit_train_cr1_1008.json,9dec0b2133bc3bcc5a46448a681e470ae01bc92f125988f3b9d368348b84be29,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
cubit_train_cr1_1010,CUBIT-InSeg,official_2026_release,CR1_1010,CR1_1010,cubit:train:cr1_1010,train,uav_rgb,building_facade,instance_polygon,crack,crack,positive,BDI-TAX-001@0.1.0-beta,CC-BY-4.0,cubit_exact_dedup|unresolved_near_duplicates_excluded|test_locked,bbd76fd3ed4d2e742ca8373e0b28b24fe5906c1ae6e4d4a0ea0406a096613ba6,data/v1/images/cubit/cubit_train_cr1_1010.jpg,data/v1/annotations/cubit/cubit_train_cr1_1010.json,0bb0b86488440968a5055c737908f5d53af175c3c4f37ae8e194b2e064ace045,12,12,passed,false,detection,native_box_or_box_derived_from_genuine_mask,box_xywh
