record_id,split,source_image_id,image_archive,image_member,annotation_archive,annotation_member,sha256,selected_after_exact_dedup,exact_group_size,exact_keeper_record_id,decision_reason,test_locked
cubit_test_cr1_100,test,CR1_100,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_100.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_100.txt,9bb679b817a7f51887463ebd7c346a2aef699891157aa0285e4356f4b16f5874,True,1,cubit_test_cr1_100,unique_sha256,True
cubit_test_cr1_1003,test,CR1_1003,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1003.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1003.txt,7bbf16c7f4f075a4b9f5f6668e10c8723d5ae1fbcbe1b292cb9fcc0135eb62e7,True,1,cubit_test_cr1_1003,unique_sha256,True
cubit_test_cr1_1026,test,CR1_1026,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1026.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1026.txt,fe0513d74fd1aab53356aa2fb1afe3a0e66e4f8baff15d41aa075874dd1f4d61,True,1,cubit_test_cr1_1026,unique_sha256,True
cubit_test_cr1_1028,test,CR1_1028,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1028.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1028.txt,fd8c8815fec9d8f536672b72e20324980b8f905a0935f5f3c5caea5fcf776865,True,1,cubit_test_cr1_1028,unique_sha256,True
cubit_test_cr1_1053,test,CR1_1053,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1053.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1053.txt,a999e5a75c9b3f594b7ef704533ec50f41c42795d4748371d566f5df7e0e8a7b,True,1,cubit_test_cr1_1053,unique_sha256,True
cubit_test_cr1_1055,test,CR1_1055,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1055.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1055.txt,202345d6c88a5cc39728d6cab2f889bb0292cbfd7a32668222596f71db9fbd44,True,1,cubit_test_cr1_1055,unique_sha256,True
cubit_test_cr1_1059,test,CR1_1059,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1059.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1059.txt,186c7bdf0d43fc57d8cf4b72eaa35c5461340d4d37a1707d7a50fd50ce5c000c,True,1,cubit_test_cr1_1059,unique_sha256,True
cubit_test_cr1_1063,test,CR1_1063,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1063.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1063.txt,8611224275af082e39d16bd178199faf6af9a003e7cbd6404c84a774e26aa62d,True,1,cubit_test_cr1_1063,unique_sha256,True
cubit_test_cr1_1072,test,CR1_1072,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1072.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1072.txt,465e5f56da393b367b588a62d17ca2eba4afe8d15d6ef2502d2409e23aa55064,True,1,cubit_test_cr1_1072,unique_sha256,True
cubit_test_cr1_1083,test,CR1_1083,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/images.zip,images/CR1_1083.JPG,datasets/building-target/CUBIT-InSeg/CUBIT-InSeg/test/labels.zip,labels/CR1_1083.txt,eede600b027a94df73c74991b1e5591edf4c7118d09efe86513f0f82bef9bbc8,True,1,cubit_test_cr1_1083,unique_sha256,True
