review_rank,phash_hamming_distance,grayscale_correlation,grayscale_mae_0_1,grayscale_rmse_0_1,same_dimensions,left_record_id,left_split,left_member,right_record_id,right_split,right_member,decision,review_notes
1,0,0.95695102,0.03093358,0.07777364,False,cubit_train_sp0_1224,train,images/SP0_1224.JPG,cubit_test_sp1_1210,test,images/SP1_1210.JPG,pending_human_review,
2,0,0.95666617,0.04052591,0.09212723,False,cubit_train_sp1_112,train,images/SP1_112.JPG,cubit_test_sp0_109,test,images/SP0_109.JPG,pending_human_review,
3,0,0.73289526,0.05886949,0.10305827,False,cubit_train_sp0_1325,train,images/SP0_1325.JPG,cubit_test_sp1_1313,test,images/SP1_1313.JPG,pending_human_review,
4,2,0.98165041,0.02103942,0.05558899,False,cubit_train_sp1_241,train,images/SP1_241.JPG,cubit_val_sp0_237,val,images/SP0_237.JPG,pending_human_review,
5,2,0.96331704,0.02760704,0.07226317,False,cubit_train_sp0_203,train,images/SP0_203.JPG,cubit_test_sp1_207,test,images/SP1_207.JPG,pending_human_review,
6,2,0.95969921,0.01864109,0.06700833,True,cubit_train_cr1_1438,train,images/CR1_1438.JPG,cubit_val_cr1_1439,val,images/CR1_1439.JPG,pending_human_review,
7,2,0.95956445,0.04274783,0.08991442,False,cubit_train_sp1_17,train,images/SP1_17.JPG,cubit_test_sp1_27,test,images/SP1_27.JPG,pending_human_review,
8,2,0.93071854,0.05379974,0.11672586,False,cubit_val_sp0_108,val,images/SP0_108.JPG,cubit_test_sp1_111,test,images/SP1_111.JPG,pending_human_review,
9,2,0.92003155,0.05449458,0.09309213,True,cubit_train_cr1_101,train,images/CR1_101.JPG,cubit_val_sp1_685,val,images/SP1_685.JPG,pending_human_review,
10,2,0.91144794,0.05559848,0.09438558,True,cubit_train_sp1_684,train,images/SP1_684.JPG,cubit_test_cr1_100,test,images/CR1_100.JPG,pending_human_review,
11,2,0.90919304,0.02779996,0.05577554,False,cubit_train_sp1_1820,train,images/SP1_1820.JPG,cubit_test_sp0_1828,test,images/SP0_1828.JPG,pending_human_review,
12,2,0.90732127,0.04724647,0.08707445,True,cubit_train_cr1_112,train,images/CR1_112.JPG,cubit_test_sp1_696,test,images/SP1_696.JPG,pending_human_review,
13,2,0.88375419,0.0259981,0.04573193,True,cubit_train_cr1_1090,train,images/CR1_1090.JPG,cubit_val_cr1_720,val,images/CR1_720.JPG,pending_human_review,
14,2,0.87545085,0.03457199,0.07153405,False,cubit_train_sp0_1820,train,images/SP0_1820.JPG,cubit_test_sp1_1803,test,images/SP1_1803.JPG,pending_human_review,
15,2,0.85577285,0.07745074,0.12862867,False,cubit_train_sp1_829,train,images/SP1_829.JPG,cubit_val_sp0_848,val,images/SP0_848.JPG,pending_human_review,
16,2,0.84805727,0.07063299,0.12574378,False,cubit_train_sp1_914,train,images/SP1_914.JPG,cubit_test_sp1_922,test,images/SP1_922.JPG,pending_human_review,
17,2,0.84392452,0.09318154,0.14774692,False,cubit_train_sp1_902,train,images/SP1_902.JPG,cubit_test_sp0_922,test,images/SP0_922.JPG,pending_human_review,
18,2,0.84072006,0.06161128,0.09236652,False,cubit_train_sp0_1427,train,images/SP0_1427.JPG,cubit_test_sp1_1417,test,images/SP1_1417.JPG,pending_human_review,
19,2,0.82826865,0.03293242,0.07110588,False,cubit_train_sp1_451,train,images/SP1_451.JPG,cubit_test_sp1_462,test,images/SP1_462.JPG,pending_human_review,
20,2,0.79986262,0.07045683,0.11630489,False,cubit_train_sp1_1327,train,images/SP1_1327.JPG,cubit_test_sp1_1338,test,images/SP1_1338.JPG,pending_human_review,
21,2,0.79507369,0.03203341,0.07387706,True,cubit_train_sp0_458,train,images/SP0_458.JPG,cubit_val_sp0_459,val,images/SP0_459.JPG,pending_human_review,
22,2,0.78889823,0.01646274,0.04781905,True,cubit_train_cr1_1426,train,images/CR1_1426.JPG,cubit_test_cr1_1427,test,images/CR1_1427.JPG,pending_human_review,
23,2,0.74213481,0.04835612,0.07996219,False,cubit_train_sp1_766,train,images/SP1_766.JPG,cubit_val_sp1_777,val,images/SP1_777.JPG,pending_human_review,
24,2,0.71489501,0.04842146,0.08091272,False,cubit_train_sp1_763,train,images/SP1_763.JPG,cubit_val_sp0_778,val,images/SP0_778.JPG,pending_human_review,
25,2,0.71293962,0.0597503,0.09753102,False,cubit_train_sp1_54,train,images/SP1_54.JPG,cubit_val_sp1_64,val,images/SP1_64.JPG,pending_human_review,
26,2,0.70370811,0.08140175,0.14990786,False,cubit_train_cr1_111,train,images/CR1_111.JPG,cubit_test_sp0_711,test,images/SP0_711.JPG,pending_human_review,
27,2,0.68723965,0.01474346,0.05183095,True,cubit_train_cr1_779,train,images/CR1_779.JPG,cubit_test_cr1_780,test,images/CR1_780.JPG,pending_human_review,
28,2,0.64735699,0.05909567,0.07321812,True,cubit_val_cr1_549,val,images/CR1_549.JPG,cubit_test_cr1_1427,test,images/CR1_1427.JPG,pending_human_review,
29,2,0.64629674,0.02606488,0.05473245,True,cubit_train_cr1_902,train,images/CR1_902.JPG,cubit_test_cr1_780,test,images/CR1_780.JPG,pending_human_review,
30,2,0.64456809,0.06311275,0.09783304,False,cubit_train_sp1_802,train,images/SP1_802.JPG,cubit_val_sp0_818,val,images/SP0_818.JPG,pending_human_review,
