"sample_id","source_dataset","source_label","proposed_canonical_label","packet_image","packet_native_annotation","packet_normalized_annotation","image_sha256","native_annotation_sha256","normalized_annotation_sha256"
"cif_0038","CiF-tiled","Rust","rust_staining","images/cif_0038.jpg","native_annotations/cif_0038.json","normalized_annotations/cif_0038.json","a41bde07f3f05a872efeb637f84807649b00862ac6df58060d4871da1a12c15a","0bb2598e543a55dff5c556f70d05a7d85c83c4080ad26dda81e039139b33a337","43462918f67bea1f826a5f95791808af374f274646f8d938098c5edb34e33997"
"cif_0067","CiF-tiled","Crack","crack","images/cif_0067.jpg","native_annotations/cif_0067.json","normalized_annotations/cif_0067.json","10f815a884556391d2b63b3490f689ae3528bffe2999a8c6be4e44a67cca965d","afda5561ad7d6d9d901b7764076968d83be155ad4797ccc5e8b1646d056d060d","a7fbcfcd9a0fb3889ee00b793be17665aa540af8a8ed6693282ee7f01e99c1c7"
"cif_0089","CiF-tiled","Crack","crack","images/cif_0089.jpg","native_annotations/cif_0089.json","normalized_annotations/cif_0089.json","466bba21bb752cd8fdf5d67ac499c6cfe87949ab2273effa3123289638c0601e","8e3b02e2a9aea24077cbaf517840d91189975dcee26d6761a79e8ecf1d40d291","c9654bb4970e02a5d3aa6cdb73dd4f60a057d0656623c5f8d91959c455680e91"
"dacl_0001","DACL10K-v2-devphase","Crack|Rockpocket|Rust|Spalling","crack|honeycombing_rock_pocket|rust_staining|spalling","images/dacl_0001.jpg","native_annotations/dacl_0001.json","normalized_annotations/dacl_0001.json","595ecf72ca04b38f99d1466fb6524760bfdcb723db10e4801823a385fd89813e","39fc389e93a9fe4349477109d0fc5a92a73a915e0b23f822670d55d3523426cb","9804a8ebcf41315ab238805752882844810e25d11d9e6d3ada7b17e66d7f1ffc"
"dacl_0002","DACL10K-v2-devphase","Rockpocket","honeycombing_rock_pocket","images/dacl_0002.jpg","native_annotations/dacl_0002.json","normalized_annotations/dacl_0002.json","2325d8b3aa38fe6c742c3dc21a7d70d270474e4c9d62f7743587afb2627c531f","2ec7f9762e9606090e07b0f5877c71b2db06a8adb46c80cf6fd47558e3b8e419","2bf4d2f06b5c9edc9e4d6b40c5bcbf960aef86b77b1cfde39c7d2df9f949ba52"
"dacl_0003","DACL10K-v2-devphase","Crack|Efflorescence|Rockpocket|Rust","crack|efflorescence_leaching|honeycombing_rock_pocket|rust_staining","images/dacl_0003.jpg","native_annotations/dacl_0003.json","normalized_annotations/dacl_0003.json","6a626991b869f46a20e2ac5e78d311031c2cd960dac99650e4ef7cda7a25e06e","e29ec8bcdd62b76e4b078935bb6c478c82497f92bcafe90e0050db8cace4031f","5d522a2a5142c220e558af07f8a9b8305c6012023404cf2238b41fd2a622b398"
"dacl_0004","DACL10K-v2-devphase","Crack|Rockpocket|Spalling","crack|honeycombing_rock_pocket|spalling","images/dacl_0004.jpg","native_annotations/dacl_0004.json","normalized_annotations/dacl_0004.json","5f923183146780511e88450330371a7dcc444cd56c263fbafcfaf1aa79d8d2b9","f4b1568557723ac1819fe9759406dba1a2b39ebf9601e19a14a1849cb60e5be9","d65b03a18abac0e7112a4f250db035d50a3c2d0ce80d2f2a91a91550ad1eeaff"
"dacl_0005","DACL10K-v2-devphase","Rockpocket|Rust|Spalling","honeycombing_rock_pocket|rust_staining|spalling","images/dacl_0005.jpg","native_annotations/dacl_0005.json","normalized_annotations/dacl_0005.json","9b9503b72ccd688c1223f1d814c6e7f00598bcdba1ea7680e64cfc64f912ce7c","9986c1334e8799e0f102f4be6945173f9b0df53244b17c5729f458abd44647bf","ad0d6fc971c31cb2d7f730f7df4d01b25bf9d93dfd026a50e1a03fb2ef0a5cd3"
"dacl_0006","DACL10K-v2-devphase","Crack|Rockpocket","crack|honeycombing_rock_pocket","images/dacl_0006.jpg","native_annotations/dacl_0006.json","normalized_annotations/dacl_0006.json","6407703bf3f3199cbe3e391493e8012959d5393f1db51633f0a3cbb2c87dc16d","2e78be850194005a99fbf3c9de57038fd43b1b957fe997e18cb4614d9ba4f8eb","af1e38a2cb7c669f2c3f1d17c391d265574e6e92bdda9892853b81d2991ab0be"
"dacl_0007","DACL10K-v2-devphase","ACrack|Crack|Rockpocket|Rust|Spalling","crack|honeycombing_rock_pocket|rust_staining|spalling","images/dacl_0007.jpg","native_annotations/dacl_0007.json","normalized_annotations/dacl_0007.json","5c3bd14d1848cbd6a907e3dc9f0dc86ae1c606e1becc9ce2c044d81f6e743409","e190a14a4496efa02023130c4c4e04cea5d8c23b3745b64d291afdd3345e6775","622584055d411d455bba88dd69d546719b80b4f5ae8a9950a013586b8d7ea390"
"dacl_0008","DACL10K-v2-devphase","Crack|Rockpocket|Rust|Spalling","crack|honeycombing_rock_pocket|rust_staining|spalling","images/dacl_0008.jpg","native_annotations/dacl_0008.json","normalized_annotations/dacl_0008.json","c9b007de2c04d20a7e92f6f3d5ca192f79b8d9aa380f5bac76bb21b298aa0240","c3df80f842ad9dc033533820b679386968f39242f5f24c3bfbcb7eaec48ed39b","ed6518a348e20ba920b8e39bbf9dacc6ef93686148451a16d8440bd08bf3a7cf"
"s2ds_0008","S2DS","corrosion|efflorescence","rust_staining|efflorescence_leaching","images/s2ds_0008.png","native_annotations/s2ds_0008.png","normalized_annotations/s2ds_0008.json","c51ac2825d3a653d5124aad5efccc4f38faaf4083a139709d2350dd8398fb933","93da3c9fd8ae35af2188d3073513c4dfb992fdc0f6bd97e9b9b90dea14f381c9","f1bb06b2b1849ff566c97834caf418d1d3b20c0b0fbca02417eeabdc656aa40d"
"s2ds_0013","S2DS","corrosion","rust_staining","images/s2ds_0013.png","native_annotations/s2ds_0013.png","normalized_annotations/s2ds_0013.json","6f770db64f358f59f270c452502a3b31c2bc8c2caeb29f105da2daf8d1fd346d","165f5c9182db9d4dc534c9ba3abe0d4263afa27af2e9635f6f6a6b54be961264","054772c1978ffc110400c6bdeb2bcda8a2aa4937507575f18b29035aa47b0f8e"
"s2ds_0014","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0014.png","native_annotations/s2ds_0014.png","normalized_annotations/s2ds_0014.json","d0579e1f1d8df3258322cc4fcf2fa6ce3cd66c64d5ebb12c8831653671f16752","ab769adf6ef72f129eb6d9acae66ccec646eda5ea5355057255fba62254bfce8","639b3f436b9c0f1c2550414ae878596ca9755ebc8b962321ea6c601141fcf01f"
"s2ds_0015","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0015.png","native_annotations/s2ds_0015.png","normalized_annotations/s2ds_0015.json","23ea449485b5156af21511eea147b44c872ac8f3b74a74980630a74786a4b1a6","d33433eb6f8cca2c9c2a615904daa8e2d26d1e047bc80441bfd4e94a92b5d1ab","0ef2aabcb8c33e0b84e63521789f2187290ff4abee7a313abf0f337d530e42d4"
"s2ds_0016","S2DS","corrosion","rust_staining","images/s2ds_0016.png","native_annotations/s2ds_0016.png","normalized_annotations/s2ds_0016.json","443ed7fe63abc5d50b4416397584c16b8696542825bc01f1ac089bb7c14a0916","d5dfadd7556ec19c1394c6da24ab760071ddb7d768fba2de01fe0714ebfab502","bd42bd810e97b92836aa1698d2d8bc89446dd1d22dbbdbc4d2f1a72b2d7bcfd6"
"s2ds_0017","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0017.png","native_annotations/s2ds_0017.png","normalized_annotations/s2ds_0017.json","d8da92c1e50eae972bc08efc46c5f0b3b725c74185a71a60f825bc9c6da8eb36","0ce0b52b7ffea393e1d64fc284a89c56c29f58c15b2704be7d7ffccad195fd90","6f6dc79bd9d6f7eb11a4c92b45023cda2e09aba924200e1e946b3c5cf7ac0cf6"
"s2ds_0018","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0018.png","native_annotations/s2ds_0018.png","normalized_annotations/s2ds_0018.json","bf4caeaa0be2e507cc2a0799df638ec3293761fd8cbc34504167701cd3e28ac7","bba1921b70c7624920a98b450d0442c8848fba78eb76c063689e3edf2acaebe2","a1cd14acfc8bed2ec32e6479102f19ff14abad202e07b8810a2e9815818831d0"
"s2ds_0019","S2DS","corrosion|spalling","rust_staining|spalling","images/s2ds_0019.png","native_annotations/s2ds_0019.png","normalized_annotations/s2ds_0019.json","e19b9a7395745c1ef26c5fad535c20f2692db293bd28923afc54a30f7ec491dd","fa372e7375baac938026a24ab3a52a9ab31721294618c45d998538528b237cf4","b8a353c3c8fb79584456b7f2d3d31ff64ffc7a8424dee54b207b414f36614d55"
"s2ds_0020","S2DS","corrosion","rust_staining","images/s2ds_0020.png","native_annotations/s2ds_0020.png","normalized_annotations/s2ds_0020.json","c5bb6c8579ba71196722b2ffec9241d03d5a86544df29ea0623a9800fcf00756","a3f545b17979420e4740165cd9994e09c2e3b0d33c0ff10902a7a233562a9ef0","fb9e70c9d3c9af2341452ee0321d819e901bf4c10d05b12ab3851c69ac7f4851"
"s2ds_0021","S2DS","corrosion","rust_staining","images/s2ds_0021.png","native_annotations/s2ds_0021.png","normalized_annotations/s2ds_0021.json","cdc828247d9f1df12e09453f161b1724529aaf3a0a7c4f8405458a1b5f558c25","97d8795cf813634463506848136d1742fd48106c688f467110da1f7af305748b","36811cf119b8f84b67fb0ed97b0ca9e98199ef79fe4b8fe7f57f3ebb0e17db50"
"s2ds_0022","S2DS","corrosion","rust_staining","images/s2ds_0022.png","native_annotations/s2ds_0022.png","normalized_annotations/s2ds_0022.json","2c95fe6f7e05028b0d59ff01cf43ab04b60603ca72e2c6e9408d9cb0ad6fc8ec","ab0706d386294c052f321f4a08bf182026ca8a0932afe6150e29eaf4cdff3e99","9a55984d88e9f27ebf876f8fdb6f7dc0ed11efcee80d3f27856ecabd365600e7"
